# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-20 15:00
# Source CSV : /Users/raj030/DATA/reffield-average/leakage_master_table.csv
# Selection  : manifest indices 14–49, excl '24-29'
# SB_REFs    : 30 contributing observations
# Footprint  : closepack36
# Weights ID : 5241
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : 0.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   footprint   beam footprint name (from schedblock metadata)
#   wt_id       ODC weights ID (weights.id)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     footprint          wt_id  freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        30    -0.2731    0.0641    -0.0275    0.0110      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        31    -0.3123    0.0363    +0.0086    0.0122      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        32    +0.6716    0.0958    +0.0107    0.0103      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        33    +0.4441    0.1082    +0.0461    0.0024      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        34    +0.3706    0.1130    +0.0850    0.0058      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        35    +0.4284    0.1050    +1.0253    0.0419      7

REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        0    +0.0768    0.0838    -1.2861    0.0246      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        1    +0.0942    0.0255    +0.1808    0.0182      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        2    +0.0270    0.0642    -0.0673    0.0156      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        3    +0.2592    0.1171    +0.4368    0.0147      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        4    +0.2564    0.0789    +0.6305    0.0085      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        5    +0.0338    0.0721    +0.5386    0.0078      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        6    +0.3203    0.0485    -0.0312    0.0114      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        7    +0.2683    0.0414    -0.5063    0.0072      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        8    +0.0421    0.0832    +0.0127    0.0326      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        9    -0.0866    0.0758    +0.4239    0.0094      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       10    +0.1437    0.0653    +0.6004    0.0058      5
REF_1212-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       11    +0.3970    0.1162    +0.4826    0.0365      5
